Tiempo [Seg.],Velocidad angular [rad /seg],Corriente en armadura [A],Tensión [V],Torque
0.001,0,0,0,0
0.002,0,0,0,0
0.003,0,0,0,0
0.004,0,0,0,0
0.005,0,0,0,0
0.006,0,0,0,0
0.007,0,0,0,0
0.008,0,0,0,0
0.009,0,0,0,0
0.01,0,0,0,0
0.011,0,0,0,0
0.012,0,0,0,0
0.013,0,0,0,0
0.014,0,0,0,0
0.015,0,0,0,0
0.016,0,0,0,0
0.017,0,0,0,0
0.018,0,0,0,0
0.019,0,0,0,0
0.02,0,0,0,0
0.021,0,0,0,0
0.022,0,0,0,0
0.023,0,0,0,0
0.024,0,0,0,0
0.025,0,0,0,0
0.026,0,0,0,0
0.027,0,0,0,0
0.028,0,0,0,0
0.029,0,0,0,0
0.03,0,0,0,0
0.031,0,0,0,0
0.032,0,0,0,0
0.033,0,0,0,0
0.034,0,0,0,0
0.035,0,0,0,0
0.036,0,0,0,0
0.037,0,0,0,0
0.038,0,0,0,0
0.039,0,0,0,0
0.04,0,0,0,0
0.041,0,0,0,0
0.042,0,0,0,0
0.043,0,0,0,0
0.044,0,0,0,0
0.045,0,0,0,0
0.046,0,0,0,0
0.047,0,0,0,0
0.048,0,0,0,0
0.049,0,0,0,0
0.05,0,0,0,0
0.051,0,0,0,0
0.052,0,0,0,0
0.053,0,0,0,0
0.054,0,0,0,0
0.055,0,0,0,0
0.056,0,0,0,0
0.057,0,0,0,0
0.058,0,0,0,0
0.0590000000000001,0,0,0,0
0.06,0,0,0,0
0.0610000000000001,0,0,0,0
0.062,0,0,0,0
0.063,0,0,0,0
0.064,0,0,0,0
0.065,0,0,0,0
0.066,0,0,0,0
0.067,0,0,0,0
0.068,0,0,0,0
0.0690000000000001,0,0,0,0
0.07,0,0,0,0
0.0710000000000001,0,0,0,0
0.072,0,0,0,0
0.0730000000000001,0,0,0,0
0.0740000000000001,0,0,0,0
0.0750000000000001,0,0,0,0
0.0760000000000001,0,0,0,0
0.0770000000000001,0,0,0,0
0.0780000000000001,0,0,0,0
0.0790000000000001,0,0,0,0
0.0800000000000001,0,0,0,0
0.0810000000000001,0,0,0,0
0.0820000000000001,0,0,0,0
0.0830000000000001,0,0,0,0
0.0840000000000001,0,0,0,0
0.0850000000000001,0,0,0,0
0.0860000000000001,0,0,0,0
0.0870000000000001,0,0,0,0
0.0880000000000001,0,0,0,0
0.0890000000000001,0,0,0,0
0.0900000000000001,0,0,0,0
0.0910000000000001,0,0,0,0
0.0920000000000001,0,0,0,0
0.0930000000000001,0,0,0,0
0.0940000000000001,0,0,0,0
0.0950000000000001,0,0,0,0
0.0960000000000001,0,0,0,0
0.0970000000000001,0,0,0,0
0.0980000000000001,0,0,0,0
0.0990000000000001,0,0,0,0
0.1,0,0,0,0
0.101,0,0,2,0
0.102,0.00823804495597894,0.324424070832538,2,0
0.103,0.0429987461173822,0.528720171366967,2,0
0.104,0.094416699373288,0.656170253497478,2,0
0.105,0.156181459176425,0.73447438039666,2,0
0.106,0.224257716740895,0.781360210608451,2,0
0.107,0.296066214483753,0.808173067822946,2,0
0.108,0.369959531658417,0.822173585488074,2,0
0.109,0.444886587546634,0.828008199317341,2,0
0.11,0.520177923883764,0.828650262451537,2,0
0.111,0.595408285989284,0.826002359119433,2,0
0.112,0.670308675064551,0.821281785338305,2,0
0.113,0.744710062033581,0.815267256520387,2,0
0.114,0.8185073647674,0.808456800299586,2,0
0.115,0.891636393869903,0.801168807899595,2,0
0.116,0.964059098339217,0.793606706968953,2,0
0.117,1.03575412314551,0.78590035215538,2,0
0.118,1.10671076643151,0.778132515033684,2,0
0.119,1.1769251124678,0.770355837620379,2,0
0.12,1.24639755708741,0.762603682584216,2,0
0.121,1.31513122430354,0.754897077342529,2,0
0.122,1.38313095328067,0.747249158244897,2,0
0.123,1.45040265032848,0.739668014813113,2,0
0.124,1.51695287450648,0.732158510017586,2,0
0.125,1.58278857273629,0.72472344521746,2,0
0.126,1.64791691059502,0.717364305685915,2,0
0.127,1.71234516434131,0.710081737710363,2,0
0.128,1.77608065212672,0.702875853900973,2,0
0.129,1.83913069028243,0.695746428552913,2,0
0.13,1.90150256565074,0.688693022643338,2,0
0.131,1.96320351818197,0.681715063794999,2,0
0.132,2.0242407300979,0.67481189741886,2,0
0.133,2.08462131925456,0.667982819411642,2,0
0.134,2.14435233518946,0.661227097048887,2,0
0.135,2.20344075688358,0.654543982323514,2,0
0.136,2.2618934916177,0.647932720449842,2,0
0.137,2.31971737452611,0.641392555273867,2,0
0.138,2.37691916859342,0.634922732703886,2,0
0.139,2.43350556493195,0.628522502874486,2,0
0.14,2.48948318323581,0.622191121500231,2,0
0.141,2.54485857234489,0.615927850711091,2,0
0.142,2.59963821087641,0.609731959556512,2,0
0.143,2.65382850789672,0.603602724297754,2,0
0.144,2.70743580361599,0.597539428565047,2,0
0.145,2.76046637009474,0.591541363428539,2,0
0.146,2.81292641195506,0.585607827414407,2,0
0.147,2.8648220670921,0.579738126486178,2,0
0.148,2.916159407383,0.573931574004094,2,0
0.149,2.96694443939135,0.568187490670746,2,0
0.15,3.01718310506617,0.562505204468207,2,0
0.151,3.06688128243475,0.556884050590042,2,0
0.152,3.11604478628881,0.551323371370335,2,0
0.153,3.16467936886384,0.545822516211092,2,0
0.154,3.21279072051152,0.54038084150891,2,0
0.155,3.26038447036507,0.534997710581457,2,0
0.156,3.30746618699761,0.529672493594124,2,0
0.157,3.35404137907356,0.52440456748706,2,0
0.158,3.40011549599301,0.519193315902743,2,0
0.159,3.44569392852929,0.514038129114163,2,0
0.16,3.49078200945963,0.508938403953673,2,0
0.161,3.5353850141891,0.503893543742544,2,0
0.162,3.57950816136779,0.498902958221225,2,0
0.163,3.62315661350144,0.493966063480336,2,0
0.164,3.66633547755542,0.48908228189238,2,0
0.165,3.70904980555227,0.484251042044178,2,0
0.166,3.75130459516279,0.47947177867003,2,0
0.167,3.79310479029077,0.474743932585582,2,0
0.168,3.83445528165145,0.470066950622406,2,0
0.169,3.87536090734374,0.465440285563283,2,0
0.17,3.91582645341626,0.46086339607818,2,0
0.171,3.95585665442738,0.456335746660914,2,0
0.172,3.99545619399911,0.451856807566495,2,0
0.173,4.03462970536512,0.44742605474915,2,0
0.174,4.07338177191285,0.443042969801005,2,0
0.175,4.11171692771975,0.438707039891431,2,0
0.176,4.14963965808381,0.434417757707044,2,0
0.177,4.18715440004832,0.430174621392345,2,0
